episode,avg_reward,avg_loss,avg_qmax,epsilon
403,-0.3893,0.0000,nan,0.1320
404,-0.6986,nan,nan,0.1313
405,-0.2454,0.0000,nan,0.1307
406,-0.1037,0.0000,nan,0.1300
407,-0.6760,0.0000,0.0000,0.1294
408,-0.5894,0.0000,nan,0.1287
409,-0.8354,0.0000,nan,0.1281
410,-0.3551,0.0000,nan,0.1274
411,-0.4166,0.0000,0.0000,0.1268
412,0.2101,nan,nan,0.1262
413,-0.3883,0.0000,nan,0.1255
414,-0.0239,0.0000,nan,0.1249
415,-0.5302,0.0000,nan,0.1243
416,-0.0019,nan,nan,0.1237
417,0.0715,0.0000,nan,0.1230
418,0.1186,0.0000,nan,0.1224
419,0.1343,0.0000,0.0000,0.1218
420,-0.7232,0.0000,nan,0.1212
421,0.0000,0.0000,nan,0.1206
422,-0.9301,0.0000,nan,0.1200
423,-0.4764,0.0000,nan,0.1194
424,0.2793,nan,nan,0.1188
425,-0.4387,0.0000,nan,0.1182
426,-0.3478,0.0000,nan,0.1176
427,-0.3306,0.0000,nan,0.1170
428,0.0879,nan,nan,0.1164
429,-0.4140,0.0000,nan,0.1159
430,0.1873,0.0000,nan,0.1153
431,-0.3089,0.0000,nan,0.1147
432,-0.6249,0.0000,nan,0.1141
433,-0.4281,0.0000,nan,0.1136
434,-0.0392,nan,nan,0.1130
435,-0.5719,0.0000,nan,0.1124
436,-0.4632,0.0000,nan,0.1119
437,1.8611,0.0000,0.0000,0.1113
438,-1.0182,0.0000,nan,0.1107
439,-0.3577,0.0000,nan,0.1102
440,-0.1688,nan,nan,0.1096
441,-0.3347,0.0000,nan,0.1091
442,0.0465,0.0000,nan,0.1085
443,-0.5493,0.0000,nan,0.1080
444,-0.5781,0.0000,nan,0.1075
445,-0.3758,0.0000,nan,0.1069
446,-0.5301,nan,nan,0.1064
447,-0.6275,0.0000,nan,0.1059
448,0.3395,0.0000,nan,0.1053
449,-0.3316,0.0000,nan,0.1048
450,0.2278,0.0000,nan,0.1043
451,-0.3727,0.0000,nan,0.1038
452,0.2016,nan,nan,0.1032
453,-0.4674,0.0000,nan,0.1027
454,0.0765,nan,nan,0.1022
455,-0.0914,0.0000,0.0000,0.1017
456,-0.2116,0.0000,nan,0.1012
457,-0.5044,0.0000,nan,0.1007
458,-0.0860,0.0000,nan,0.1002
459,-0.2062,0.0000,nan,0.0997
460,-0.2769,nan,nan,0.0992
461,-0.4043,0.0000,nan,0.0987
462,0.2676,0.0000,nan,0.0982
463,-0.1619,0.0000,nan,0.0977
464,-0.2378,0.0000,nan,0.0972
465,-0.5329,0.0000,nan,0.0967
466,0.0287,0.0000,nan,0.0962
467,1.4548,0.0000,nan,0.0958
468,0.0926,nan,nan,0.0953
469,-0.5786,0.0000,nan,0.0948
470,-0.2818,0.0000,nan,0.0943
471,-0.2423,0.0000,nan,0.0939
472,-0.0555,nan,nan,0.0934
