2025-06-07 22:02:17,480 Initialized agent with reward_scale=10.0, norm_alpha=0.01
2025-06-07 22:02:45,474 step=0, reward=-0.7130, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,517 step=0, reward=-1.1171, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,574 step=0, reward=-0.7645, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,623 step=0, reward=-0.7274, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,669 step=0, reward=-0.7342, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,727 step=0, reward=-1.1090, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,773 step=0, reward=-0.4323, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:45,897 step=0, reward=-0.0353, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,484 step=0, reward=-5.7620, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,523 step=0, reward=-0.0060, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,574 step=0, reward=0.0559, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,626 step=0, reward=0.1005, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,682 step=0, reward=-0.0157, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,732 step=0, reward=-0.0352, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,783 step=0, reward=0.1018, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,824 step=0, reward=0.1593, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,882 step=0, reward=0.0933, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,940 step=0, reward=-0.0312, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:47,989 step=0, reward=-0.0112, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,036 step=0, reward=-0.0740, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,101 step=0, reward=-0.1986, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,151 step=0, reward=-0.3008, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,206 step=0, reward=-0.7459, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,265 step=0, reward=-0.8276, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,313 step=0, reward=-0.5907, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,367 step=0, reward=-0.8642, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,413 step=0, reward=-0.5499, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,470 step=0, reward=-1.0533, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,528 step=0, reward=-1.0786, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,578 step=0, reward=-0.4468, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,634 step=0, reward=-1.3940, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,685 step=0, reward=-0.2692, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:48,810 step=0, reward=-0.2198, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,370 step=0, reward=-3.8821, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,426 step=0, reward=0.3024, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,482 step=0, reward=0.8187, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,534 step=0, reward=0.3119, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,594 step=0, reward=0.1397, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,657 step=0, reward=-0.3612, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,710 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,765 step=0, reward=-0.9907, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,813 step=0, reward=-0.7511, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,866 step=0, reward=-0.6972, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,912 step=0, reward=-0.7159, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:50,972 step=0, reward=-0.7601, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:51,026 step=0, reward=-1.1292, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:51,083 step=0, reward=-1.1690, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:51,140 step=0, reward=-1.2361, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:51,270 step=0, reward=0.8039, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:52,837 step=0, reward=-10.4932, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:52,890 step=0, reward=0.0240, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:52,940 step=0, reward=-0.0972, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:52,993 step=0, reward=-0.5397, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,043 step=0, reward=-0.5796, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,092 step=0, reward=-0.6751, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,149 step=0, reward=-0.7441, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,204 step=0, reward=-1.0427, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,263 step=0, reward=-0.6536, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,314 step=0, reward=0.0000, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,360 step=0, reward=-1.2143, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,416 step=0, reward=-1.5944, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:53,537 step=0, reward=-0.5201, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,104 step=0, reward=-7.8858, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,156 step=0, reward=-0.1976, epsilon=1.0000, reward_scale=10.0
2025-06-07 22:02:55,203 step=0, reward=-0.5706, epsilon=1.0000, reward_scale=10.0
